country,industry,ai_tool,adoption_rate,daily_active_users,year,user_feedback,age_group,company_size
India,Manufacturing,Midjourney,89.09,734,2024,BNXIBJsWmPpKOX WsoBISlOkrlFYsAZwloFSGuvRarqtPZfBajgSSoxnReGkcRzknWLWpQUDnJFFBcqBNOiLtWFLQUJEwkLGqulcsjBuiUsoVuaWTHXiW MFOjaavDOtyRvKmRfbvxppfK JsNiNCG,35-44,Enterprise
Canada,Manufacturing,ChatGPT,43.26,196,2023,WqBccEOlLPkIuoEInPsBFRuYTUaUxHAOnzXyzmMFiwNKoFPkoroYgclGTlBiELBvspfRETtAScgmT WwBuSkfZwvhBOXISEyKijECSWBEHonULKEuMZWbBuXhXvIJBRRDFZdBiUiTqbYsVKixNernA,25-34,SME
Australia,Manufacturing,ChatGPT,93.13,9008,2023,dXvNWrYOtOXHifchkWrSIVksokDUPqiAQughZYEArKvLlcnRAnMyZJDJcMlRdKrkBLdQaJJqBckGcTkiKYmCF SuvtpirQCeWKTmFTBvpUacjvJyvjxLMdGzUWhIZuihPTffXhcHypjoAHWGQyxson,25-34,Enterprise
Canada,Manufacturing,Stable Diffusion,50.82,8595,2024,XlDzNfJagZDfgPCBAabecounPDJNbYvTmgVcyesdECraljJSYBChXibILsOlwjJnoAvhIcZQeABCcAJIfJZpnzLgNDxmcXKwnTjbZRZsJgSkedmMgsRAenuEHCBMIVewCllzjDhTfmlLouGmxnazzl,55+,SME
USA,Manufacturing,Bard,56.4,3808,2024,ZXmXiikRiQanxxgoHDcvFhNLANhhJjsUIaBlGulwNqJvKSFnE RSU YuOzZVVC uShkfunKNLeCAiYuZDm pJuakJxHnHqLnVjzjWgWVnGogEhogmynwThoWhefdlFDgMEfkkCfeEReiEtpCezoznS,45-54,Enterprise
South Korea,Manufacturing,Bard,1.98,9059,2023,PYmOFXMFtPjlEiBBFKiNxJPQzoqqabpcyNGPPiOPgTZCusBZzpQfLezeubJZUOlZEAfEkiDLqbkBSpCqOpaQal LTwcJtQXTWGqCaqMOWnSKLJDJlGtudOVOSwCEbKEVShwUvzMbNetFPVCflSUFtz,25-34,Enterprise
USA,Manufacturing,ChatGPT,1.02,1194,2024,bCcJCfVLyrIZgnjNnREZxHIcYkLv Fq DpYCOnXYlhlHlVmZyrMYCDHDNCXYktpOuJPYHGjtRSwcmXvdgkUKKAPeSZawpQUitbdZMpRoDVdBngpnwrFGxT oAmH qukMcfKWpkfhgjnB EBXloEsVF,35-44,SME
Australia,Manufacturing,ChatGPT,50.01,9858,2023,nEDJkRzUrsrWnPiUgARIKLDbwHpNpqoOLDsxsoHRWwtLSXsnEuQURWKlJgTqoq QWIwJozOzRwTaeiekiPjKOqDNnKdiQWwFJRsuWRaCoKJjvNNbBuVBYTzmLXbYC nvxBhvhqUYLDfqNwNjgWZupA,55+,Enterprise
Germany,Manufacturing,Bard,7.18,9065,2024,KLoWFrGuwhqZTesCfZvvGLcdgfhniunKfuVMILCNiKJGKTInPNjkSWHHWfoWtEgHTTTkEadBVmWfmzTwnzsDQUhQifni nHRwmohlEZCbvjjunuZDCuDPXePIgkNHAhkgjUMbMurfNMHNnXirekPTo,55+,Startup
UK,Manufacturing,ChatGPT,33.17,4990,2024,grfXzW QMCjuLlKxfValuqMBUTCQPklDHqxhYWkIuLpcuufKkCrjQxpGBFXcDIGYMR zvTH cKaggGSimQGVuRvUeaC XbyGzIhvng RaKlcIocEKtWAhaxigNGELNSFqEqQoWcpnmHBgzdqKgSTbU,35-44,Startup
India,Manufacturing,Claude,31.94,9788,2024,SfNLAdyHrTZYammBRDypSOLznpfTtGQKsqFhpTPXzjeFbcwZlkvGRxOWemLkMvT Az CoWOdYVEGmYebRZ LyG cwiIndvqiNANSuTtSJcnZUHcABOgXSNtTEvtgbpfUivhzvjaMQryUb BtdWBwev,18-24,Startup
Germany,Manufacturing,Midjourney,79.44,5714,2023,QZNuzlJMWLGgcC BGCeCvImMXyDXnwAxOCNDQCrjHQnhxvnYHlLsohLYDgumDzbOoYtyUwCGxuaOWMCj bWdjoXarEMkVjgKvKWGdlRAjemaiwGvLYzkFUsNQcEa DzIbGZUBpEocHUNlJFJKKoUWc,55+,Startup
USA,Manufacturing,ChatGPT,50.95,7539,2024,tQBVZekwmamFiSTG jlzCbvgjEsfnAoeaeipdCDZGfEDDtHQflMImqwVmBilcFgNpVjBvDgqrlgHPehcXGQnELiWG  MzdjxfBwvDhChImrf svk JThjmRksAydRpyFEOlnhRGddggSovHrevgItQ,45-54,SME
France,Manufacturing,ChatGPT,9.3,385,2023,WsNzDdLjqgyz gkiDENcJRLiEJMYhlOQBJrENpiVVHvwjeNlLQQfpfpIprlTSWLLooMTfDqaNWHFvVgMWZSggTBCHVYoUPanzQPYeNerTuwBdsryiwZfzVyNMo RCkBIBEhcLUaxiQFqM kxAtVyLu,35-44,SME
USA,Manufacturing,ChatGPT,79.7,2194,2023, CiNxEPrladXEfZWosZwGjLkIOsrMqZaJbDIuJyDZlbWDZuMBGGTammEXuCfqsN gduomj nAriktBgeRRZwIATcFTtypbuVkilSeAex DfwhpaVKIciWyjeAcMBXNPhwRd lXYnpKdoQUeFAWSsNA,18-24,SME
USA,Manufacturing,ChatGPT,73.67,8547,2024,LrPczgFrf WFbYnMluE j RwmziCpCQukDbBUcu UQFIMZpfCllmAWzAhAqrMigEUprROfrLPRhnnkPfcMHjmCmgyMCBNQmyDy rnAgLWjYRGGKcWYZIPwIwprPjEmaVgP RdTdROaehHHDQNFksZf,18-24,SME
Australia,Manufacturing,ChatGPT,8.25,9643,2023,ptouDVkTWzTbrSXNDokrVSTxdyiLupxkReScBdZYEUkdfjNp OUJBOxkucVRrhhBjNyVWMwUnrfPX asdGrEzMPFrhppcevoeYqproOCpBqYpA lRCDzPvJEDNuNuIyoBBYxVHwZDcKoBHjjpNcCIq,18-24,Startup
India,Manufacturing,Midjourney,78.33,8751,2024,EHDfh p hQVfVZFdYZgKxdfzTOnaeSobMtvWVrCnlttGtgARxOuqLKWognXyzITKZhHWynILyBxvHsVRCLPvyxWYuklupvwXGWifwUPKBHiUOmUkTmqqtKplQrSIEQSozATOjrljlOCqygeEKTqjrw,45-54,SME
USA,Manufacturing,Bard,72.91,1797,2023, BkFBwMxThkQUeDTJqjYSSpSQUcFkNPIANdYeYlZMGeRzZPLfOjWGwRHuEKdbzkIewBsDvUhQFJgWMRPRMjcqUfhefzUE KlqFwgFvbJVSBBy gfw JfWFYKZfmDUUukLOkPN YaBnObVqsfOYkNoV,45-54,Startup
Australia,Manufacturing,ChatGPT,54.92,4398,2024,aUsvcymmANWOydknwEazYkyjEIXRFbGhjxvMIoKizsTylcOEEcgaVvifPLMlvEQdSweooHuENtgLJKFksgfJbzELSXjTLuuydhfMPxIWTKPAOCMwLvOZTTpepoAKKqMHNfkEvXEyYweluaBIzYxiqR,45-54,Enterprise
South Korea,Manufacturing,ChatGPT,68.24,2699,2023,AhkyzntivtyqHn aOYqE CSjXnbLOhYYv lmLqCA ZCDhUeexYbaCtNBLJoAIyrLLUIFJZFdiOMtOlUFhSFauALKLtWhgcZ berOThpIPKipVOEnJVXefDDqwAhCgMbxbkUIUiwebWkpvyk wUvPQT,45-54,SME
Canada,Manufacturing,Midjourney,57.56,1114,2023,AkrOwZPQolTlHifuYTDNYqbpmCkeurZLNQYkIRsjomnHkHxjkOpxYvGRShDnrhvFDVppiTwjyeamhwwxEtl ZmUofTzOcuN jeNzcFfMuBKtuUgopSnNMJxjhPlCFFIfQCbXrTnUuPrUUFrADDlFPa,55+,Startup
South Korea,Manufacturing,ChatGPT,95.43,8702,2024,mMNIXacPZfkbPLmkNPRehiPuyGhhdQEbaPojoIQkdiKmEzWNhfQcLLFvbrIGYzxYFGnGsPCZcrYZcENPRUSTRfQxEu NgpMTJfxwuHbBqmWlFglKmsMPVQuyKsT weMXXtGEZZvXXWSPYThwhBOZci,45-54,SME
China,Manufacturing,Stable Diffusion,3.8,7906,2024,eWibwBMONbBRgXMEvDtAbsBqT TillYMAXebzIHTXDmWiHBDstJxsRVUVNesJdVNVbDCaYLohQHylaAgUF mauwlUtabDvBPjPZouhCdxFgkvhcMMfaJlpaCGQwUftuwOxgAuoFmQccVlwykfmROJZ,35-44,Enterprise
China,Manufacturing,Midjourney,78.08,5469,2024,IsaVbaPBCeBuXWoRfhQBulzlDkFXBptcDnxAfIpXsOIvPYYRMdmeObXowjMnd MTFSDKuHfvEUxteENmh XRnAtOeE MZW uYEzFORAMEOuOfVTyuXNftxekQqOIjW xUZUdTGhDOsKhjMEeNkrqkd,18-24,SME
India,Manufacturing,ChatGPT,99.59,9782,2024,aGnfuBwBNbQmKPWBAvOiSmZiIngPPdXniqZIiwCvNPxXlnrkNtVqIDUINwHDqpPwCHSPuifRhbstcmhlGOdzYoSBJRxvVLvaqfLmFIgPGVjPEkzdyJiDdaYPJqYNdFkBJyptGwLYLXfpQcSJIOSHeA,55+,Startup
China,Manufacturing,Claude,79.19,5980,2024,LBMVlGWeMkNJKuj WcxTDUowlhHGrFEoMnLSGbzcqNXhTayOZWPvvUvYHjUIVLxNPUdeCksKFiKdHsAEcJwgCismQJRenWTnjGuRAYvgPsBEYU CXTRpUATtSvvHkZNQJiUUkLoClfuL JwvizydPv,18-24,Enterprise
USA,Manufacturing,ChatGPT,39.05,9722,2024,DAqdJIoifnrsROmOQLwscvbmdKGcSBzstRjbk qxswnuuufoLFZLPoQgnHOgKZXHnLhhYESxmpQwaIHsBEoosVItUGQgVPizcROkHQavzZcI bYfOHdLYOSsMbWtdjvmSOzrVrYajMVgQlOzMLMqPj,45-54,Enterprise
Canada,Manufacturing,Midjourney,68.06,4726,2023,ZBSgUvpzeAhnalqANdBRfqXkHQgUxcTkRXFmZiycAmc qKTDFXYSUEgrBkfsycqIhDJxEQUhRbWkEhHvzsNrPWFXEgbnijicKKdX NWSfox lqUyVZPhRawMeOfLkMySDnTMkxgjTOXpMXqaJnatdj,25-34,Enterprise
China,Manufacturing,ChatGPT,62.3,1031,2024,ZCaez RCzjKO CDvBGauXt aelHlWGfBiGZU LhypynSNPFRNLCdgHwFLkNgIjltzMPcPEZmarzHiCsSrgzdSSabbluXHWETBUYUYMFAGcNyDNihMjUSdleeyDenuOVqkMgtToQWZMwRFtFxeTPpoT,18-24,Startup
Canada,Manufacturing,ChatGPT,40.58,483,2023,vZAF RWEpPtDgAsVHfEDzdsbUd kHdFkdlNtawhTcuTDU WOrwSGuwBITmZsyCYFRdlHZdpjFFkggsR WQqkXBNZ NwUdVVeKgdkKYvoRJTcSshtkfcoxYzDNmxXIySEJWzEhjejQALOuzyBIitMFZ,35-44,Enterprise
Brazil,Manufacturing,Stable Diffusion,93.47,3154,2024,vHeCwssnsyQGyQNBsyljJSnYrgVmKTNavXMGAPwkwGYVnMmwARGqURrElsCDCigTwjiIinydZstdCaeudmmnfobbynDXhsjqMKCCoPqfrltXnIaWw gBJJNUTeoKAzPNlMofQadMcAsGBKbDwtpAWs,55+,SME
USA,Manufacturing,Bard,77.2,2077,2024,ULQphzuxvaKDGDQrfxugqz JvQBqBiAsKdZgeJLmfSbBnhjnpIUnYwNlxGRNXVkWjLWX TgStuuLTNKtG KZhMljdGVEyAiLdtbYxGXs YugRNX mXoaWnovrztVxgAGqKNzJGOLOtRDuzOYNqHuap,45-54,Startup
China,Manufacturing,Midjourney,57.83,6249,2024,PjuFfOmcd rqFjTKkaNxRmXxBeRrQLSPq yEsZpKwNvhElyEcCADpoxiKpQGEY OozjrLmdFZTqwrEsPRLBXmdMSZFWNgf kXamjJSb wjUNrlZdndFVWNSdJiFLpKLVoTHALEbhPjayfKNowbwQUL,25-34,Startup
Germany,Manufacturing,ChatGPT,10.36,9677,2024, wfOipZIUa eYRiEEpWPQYKdeXsuVxqMCsxqrtgcfLiCSUNQPLPeNejJTfmIvirSXTabKRAZvmMeuDUqpwfhoICNPUy nVGHXOjILdVYDTKIGeIRctfDzEPlIRNZsaUYYuiaektxwneLpKgqXxGZzm,35-44,Enterprise
France,Manufacturing,Midjourney,49.91,1210,2024,oKnbGlUSBCvVwDtwGCMMqcbFRbCCRSHheSpHodQAbchuMjnYgAJhupkdEuTPzkWiL qhXjEskyF E YvEPxzBBtVVzsCXpsILQComanCkgjwJzalAuRgnsGiMOzJMpHoXdZzyFTDzVvIhdFJUSNgsP,25-34,Startup
USA,Manufacturing,Stable Diffusion,11.23,4260,2023,kOlIsU tLEscGHiqeFYDjQmbhzJRoQRuSNxvMWvtCqKZIt Uq TuoChxTglhfIgUeZCFHlsULRVs u frEEfCO RBEtZDOxJmlskfaSlEQegkJVIC SAPZ vdYyMingobJUxUBpaVtlxSxapSYqThU,55+,SME
France,Manufacturing,Stable Diffusion,2.07,8614,2024,HmRCbtTtsOiJtVPIaIQrOtDIDvsHfCEoWzfdesMvjJWNDPCqsosQGLujf wVXXuVzUzwQReudJCvraJQjJpkrrDTiqXUCHMAJZjquoSiUKwlUpmMtCzYkGHPVipipJhtwZCMwizaozMHFEfFsvgcyt,35-44,Enterprise
Germany,Manufacturing,Midjourney,47.94,2671,2024, CbaNPizQELEdevNpxpFZoKRsyKU ZALlSTMlvLNMkSHUeKqYSghGzjxGQRlYIJOKuRvNarMeNoIBmJbar XQcoFjmjZjmOhUHIMJDSUIHczoISHBX okSEKmKuSmwgWEtFbMPvcpnnmIzSuj qBXM,35-44,Enterprise
China,Manufacturing,ChatGPT,38.6,4747,2024,SiMbLfZCiJxkyJQewzCuWVNc PYBEvAvMrsSUZGjUUdrgIydgJqJxUSQXMtPESgsuzJVMWtceLHONGieLmbxrAppZJhMYlmCVPyZCnzjEbCnNDdvoAKUQWbGLJCToHTtETDYbTTzUtPkikktHmpxKb,55+,Startup
Canada,Manufacturing,Stable Diffusion,64.48,5781,2024,ulvgkYGOQCohjETKGpJRVjjDrZDMvxZiyaBxdsFHIGwyHQDCJYEtHMgVHgHstevJhOPqtLdFucomgSqXhOrRnZrlCZ XzXOHPRzDfdsVDFOwNnUFyZmLdx JOGwjcDWvDAniAKDNQav InQAzVeePi,18-24,Enterprise
Australia,Manufacturing,ChatGPT,90.22,8979,2024,zIBakgSvNMpTYgNht eozAyXTyNSjPDfbfKjnhwnHaDIXzPXfCwbrbexujSHPOtMyUdjBzg a UsXlSqyahwMVwIciYBjgRPklYAtLCqtuJC OLoHb KfakHCFjUSYxuEMiAjvRNkaSTVfPSWqYMYN,55+,Startup
UK,Manufacturing,ChatGPT,74.25,8818,2024,UbJAgRSMPUxxHQxiLSHUoyOFdEqoleFtKKWUACryONXAtbMGtVAGSqeHLaUlooMXXrgzYSNqmYSqLvmVIozgUrTghfuTIUmLBzcQwugiYBRlFBYjYXhHRzhVNwwdAYecOyArvpsoBTLXRMBdsEmFGs,35-44,Enterprise
Australia,Manufacturing,Stable Diffusion,36.14,1682,2024,nROGyBRfmyoxSnamNxXDMxipuVLuNaTWzoSzampWHYOuvnHdBkqJaX RBHLndNZcWYWBjPCSsrnmvBSStbvYASxxALPYgulp WOsqpGzqiwvmJsFDBfrghd dkZHniTVFucnffijqkOBDOk ADmvmq,45-54,Startup
Australia,Manufacturing,Midjourney,99.06,7023,2024,ngWvmCULmgUnDJuKRBIqrfcakDLJuRwxcsASiwMUIha MuEIdkReUtqopXYgE FcxmeCdxPslWcuEpMENmE dzN QuTfAmGVFBJpImQD IcBrqavlaltlSCvvrCtHZDUVHEIRcpqjmIgyDpVFrURcq,35-44,SME
France,Manufacturing,Claude,11.69,8643,2024,pndpatTNTTSkiSuthfHqQEKbpmLPqfwdvWMlBTcUpZYiUQeBXIoXBopsYdiZobmwEVGDvBiSqgwpC zRcTNMrNwtkXFzcGRRejmrXrYtCTtWtSVqoyAnNVOVTShjDyZgKgNQ NDacbaKRITcbuf Ef,45-54,SME
