country,industry,ai_tool,adoption_rate,daily_active_users,year,user_feedback,age_group,company_size
Australia,Education,Bard,69.9,3659,2024,qXvyy tKDssPmBYClbfVSkMtgnNqlSLsVyKhslCGy duIvEjcplamjiWR YQMnbS hkTLKULpk VAsEzsHpQdSTUHkQUTFYjrSLJazrWUAaqOgRfKeygYsORQuEXVByt AaOAYD TVBviADLtBIKau,35-44,SME
India,Education,Midjourney,96.48,9070,2023,OEgDHCfTeDZPBxRqAWcpLjUWTcwWkKfvgtsRtHxNOPBQyCTOLJVBbMJRGRxzbDGPnIEiQfiwkDZc oZPExhWOzVWtznWdY rLNnPAwLnDFJSkxwCyAsrCKThnEoDZLqXLT lKurOlSJRqOtxhBuICq,25-34,Startup
Canada,Education,Stable Diffusion,12.96,4559,2024,cxNzZRCvRhSekCkwHLXQfxbOcYNoFTXhOLGSrbxXzjlLZoicEAtzy lmZjexVRvXezemUCiWRnYvGqBOUjZPzWPN CiettJtaCPyXEAccbCtDKRHOXSfPNFmoTNztYxilLDNuBSrvKeMUlRrHhlpTi,25-34,SME
India,Education,Claude,18.17,5261,2023,BYqDcgoFBWAMzGGsriEiYmrVagnEgVwIoRyKJhUdxtjHWEZBCoIDsXySoTInFVWjSfC KLRwvNMATgLYDUHGmtOFxhdcSLHMowTRIhgIfXYawqBUQxdMfPKNvJPtCEphDIOYAVpOBzQArnClrgUAYZ,55+,Startup
USA,Education,Stable Diffusion,41.64,972,2024,nUMubUQdQwnkYAHExHfVRMnfqUBwvGhvhhosxfaxVdsrvQSekswKdlGDplzrrEJZENpxupXKLQLkPnWNjlWrstdaHuCoTjoISOcyLSwjMrtZCfZeGiDBtLudRGoxFwfJJUvIqRervGYOmIzucQaKEC,25-34,Enterprise
USA,Education,Midjourney,90.08,3825,2024,ZuVGKXVzLAxwWXKKVmtGHdIEGpNzxjKIiCTJWKdwOCEzNiVEuDfelQKaZrsUoQxCpMstMLczhNVqoCNNdkTTmXPHqtUYmQdYsLpwPkGUTKNiettKunDAoIBMNtOKnTAdQvZXUJNElsNFCOKWEkdF m,25-34,Startup
USA,Education,ChatGPT,59.85,3581,2023,kiJzfbKXUlJjxDsqqGyg pVvwHJCGoLJXAL tsSrzLGZO DAMZTQVRnmdAPjZfAJjrsZPsnqfhtkvuzpHQqaklPNyILhFIbILjcZLoJqocPYFWixYMhjFYAgrUGbtfbSoJSqhwBvYDzOqWIDVFbvHS,25-34,SME
Australia,Education,ChatGPT,30.01,5064,2024,BHXvPNmkBbonFDdcHggEvvpTYufrBgoMCSCa dB eQZjAsGgcqqFjAvNllCFVwxjKOdJTN UgEJy nd hWZYqmCQLXxKgHmebiQHZnNxXmvxLkJDFpfNtJQLEgQeXIwJPQiedYPoAJUtV OhFWSXQa,18-24,Startup
USA,Education,Midjourney,79.17,5438,2024,TZbnKjgJ yqPscjxyjbrfKhcL RVZFRGQnsinEtodLnULxiGyyCXvoPfHVdhBSCPAYATWdDXIbbFXptPzlcMLGrlfrikTjSsaABoUabwHHCFtqsSTFWGBrULCOXKELxQgrzYNWInzDkCzpaUYzvwwU,35-44,SME
Germany,Education,Stable Diffusion,80.26,3433,2023,tUBelEXpNbnmzigtmPBkZqwHgrsNXfYigdRVaovrQLkwaZPGzpJHnIBtCmjlfSJieWjr mDcABNrqvwFfqvFKszEQeVvDVUIKzFIxPHhsieSfBQHHxLMRRnZzBcysznIxAIrqLsrtzwuSIqkcUacJP,25-34,Enterprise
France,Education,ChatGPT,25.88,804,2023,sNKcLfJGJNnDPOYvXSwggFEkFFFlwAiUdlx lo nKFm SrGxZonJRrCDiKsHXgBAggHWNnaEydqWDIcaubtDjxXvpSlgNPspWReBGKrHAnFThMUKuY eIeaPk KmUNbTkD tdbxApqubNFPWVyxBrY,35-44,Enterprise
China,Education,ChatGPT,85.79,6759,2024,ZqHwexyykMsarzUhElaRUxNaunqBJbRS EEucHaIwaQRUQDxUroctDtSBRAYqLuUNqphPaYMBExmEKHQKcapbnKmbOhlveVzotLsWV ELAKnWOJHnoyjTjHLQIsnZPXkZcjGuGiKUmvdLxrxWSVArf,18-24,SME
Australia,Education,ChatGPT,50.59,715,2023,cxuKC tihGyfisIMkujIuSXTHv AfUhSiBBMladSjySXIAgMY olYFMcWBkhFSmPqusivyMHEMBMNHLWlaJiDIiJKR fOeAxeReIBgtNhDAehsAOkNorrruKAixFjwJirxYktJbZPlcGAIfKcXVutz,45-54,Enterprise
Brazil,Education,Stable Diffusion,52.4,4846,2023,BYOoelCmUivoEIZAaBHFpHJcqSYaPGjAbqlFPfyZqqKqpfgpgYdOpxLSjZGvJPcmGoyPBQEZE IknvoYmbueNtwAcIBYoVTtMsYxDRuaegmYbOoEQvFWSNuqShVsVjREVvQWUetV MjUOXTzTIFiHB,35-44,Enterprise
India,Education,ChatGPT,38.43,3763,2024,aYagJvWBFsYXqLihztIHFZMOJDN wrvgvofbpQvbRKvEXWSVhuodRlWmLGACVlbzbDymdJ zBlcwfN IKMdUvGOkCmXwgHgQWpZwuHDbUX sbEyi pInuulMUEWfGezQNETlRnggvAtq iKbwIjEkY,45-54,SME
China,Education,Midjourney,32.75,8384,2024,Zhdq PNDeqhbnXDNa uLglbEqEdZx JgkYq MpvhngXoUUAbinzugmDCXeqwmoEHnAGJNkgXwjTzVuvspaKEnqEK ejQgPtjHNWCrcKpBGtqLSAbMpVubhavoVCfjrqrSYkECNgPyKQdLtgWfvZkqh,25-34,Startup
China,Education,ChatGPT,77.98,6282,2024,bvxcsVZBbWD FLcRY zwvmjttSzwfnnNMKNtImxlsslGxGCBuSvcJURgRwJVegugslctnAkjXknDSIdkuRnroNhHOFZCWOeecAEwtfUbwmwyjYVsTTpAfwfDudHRgQxkLQokdnUOkgrMOVpubmcHqN,45-54,Enterprise
South Korea,Education,Midjourney,6.64,5583,2024,gSqKb IqdNogqKuDXcgCLITddCsghkIGETYNjwqQpYexzdEtnyVzrQYyRmJyibeFDqSynkObYpkKNIhXKrabBuzfpvnqixO huZkKxDlYmBlRS WvFmudgDonBqXnwzLKBdwkYnyeFNXvywibXsFBR,35-44,SME
France,Education,ChatGPT,46.79,9173,2023,btnylHkWKAotwHPddIZlCNGlxhtbeGTnfgIyFvbPIWRMMxlHbfrkKcXlXJJlKlnQndaD jihfNtvrvpkiacELANGKkOJBcXl GSz sUkqVIVzmLYmrTapaRaAyMhuzBOLZozrOSUvMUckExiMsUXJp,35-44,Enterprise
India,Education,Midjourney,3.32,3167,2023,CWUrDTeQoLUoHRWPoYhAEbOQzsYRnHpSNLVOQjMJjGNwvulmNCS HMDgoaYNXHdPwLNqxcsoGHJQcIuWTqUeGeyBoNm uEYxknMDirKPDInZitExxwFupQgYZtlwPKfOdVSxfGmwmkOOPksOygTIQq,35-44,SME
France,Education,ChatGPT,6.32,8984,2024,pAXgq gBgtzrADvkG hHXLXNGAvFrsQaMotdoIPdendyJKTgUVuheQrborZpbMdnTeZXsrsfIqipzYMycmseIFXRhysdQfkWZIvmWNrZ yuFAeZZe FABfqqUvjWEqMvzKLKXviPSvbJfRxzBWxxkT,35-44,Startup
Germany,Education,Bard,44.35,6801,2024,ww CrlvqNdlYPFhtUOcVKgfcYowDgqmfwfIcHId IuAMpwofFNKNDxPGnpXw hLJxGCLlJnIMYw bMOggrlmrvESyqfkSQDUJvigREZaKRBYDUZYjlKkSFabUqMWbdIEvMqpFZbyjoVDBGMySFZOoa,55+,Enterprise
USA,Education,Midjourney,39.85,8853,2023,CXjWzTZxuQVKSdryWwbkuHLwUOOugm efFKHvFzXHANmDfSuSttJcYKBLmOKuRgndBFjRNFKSBQtLDzUOcrRFB ypTdqLbJpBipfpblzrnuZGvwGbPLIYKowqkYDJKjckHRJgUcmyXeXKoBK ZhrRs,55+,Enterprise
UK,Education,Stable Diffusion,39.36,8148,2024,fRmocFtrlQox bccwgqTQNIyDoabkodSkgRtqqzQJxxSRtaPZngqSw lHooHqPzGcJYCMFfmxFCHwzCJSxXmlCzUvfezLwVZ TCpYHckYBrKaNUKhtTniaYQGwLySvoAsOYGJeIfSqFuhpnNfvECyu,18-24,SME
Canada,Education,Midjourney,6.24,3571,2024,mMuKwcnIriuSZRdpByJRyZjjzmeLCZtyfQPvnWfEpkamKLbCmhtMhlUUCoXRBjNcuMzeHECIHGDJUVJszLTmPwTcMQfcryjZfwqRSyhiTdeVQRJJvXgXSEfugZdTSTCNx YKXYLMGdRkgJJHNNJBw ,45-54,Enterprise
Germany,Education,Stable Diffusion,94.21,8628,2024,xxvKpKwBHYLoSfBVngQFiknjLekTppMD kCqzywBqkZbpINfzLAgwYaNaODtbBYipFCBZKfflLOEYbNdhAuDMKEXWkpEnTBNsJweAvAMwZaVDqRc NqEVLpBbXkVVsjocvTyQhHmocoTllftGGEBVK,25-34,SME
Germany,Education,ChatGPT,7.56,1297,2024,IYHVqmimUkYjnhoKApwhcKDwFO sf YJgayKzxiZMJlnQtMDQQYzK ZAvHPZxRDwSPUAJaJBUCcrqsKMdmMPhXancfbxSXptJZMKqQcQmhuSYvqUcLgwTDarLuBwio SSqiEHeRAlXeAuISKMneNAu,55+,Startup
UK,Education,ChatGPT,13.31,6491,2024,fTonibTRShjosYWeNvqfKCgla rE iczRQIysNnEBoMaldkSMpqvJtTvNqVVemHaDyWovRmlERcsTzvcbHwK IQsXfmDnKTADYEJfItNlBRBOvMPKXiymgDHbXbmkh yXzeNfzdkvNzioQZWrhFzGG,25-34,SME
France,Education,Midjourney,76.57,1913,2024,QFQDyYQqx y fHbYFwMjJRINtFCKVWjJvGtMbaVKpuE JCLjVWsWqiBvIRxIwPMimtCnQXJTCVMRiMUAPDwNLgsgGrHMJDOmaDlQSyFHkAORGfBaNYbEwFzLhdOZiAQOcSkTzbvPpBIGvsSlmPvPSG,55+,Startup
Canada,Education,ChatGPT,61.89,1134,2024,YBqQdTxivdtaFuVPioIHHaUwWkadWEdYkdHVuDqebothxlXAOqhKUAXtUnuokdqMYAQd KS zGvtkpwKaTzhTPLZLqbEJkHezalcU zWcA hNNeaYcwDEJaguaXUwLNGMWmxFTzSbwJlLQlYpHLtyk,55+,SME
Canada,Education,ChatGPT,70.09,7029,2024,UmLuPDvyNYmfqBuWCNDjzFCRLGiSgtrqDOfDYTUIeo duDcAgtgYMhdHkcnmRNCLRQUNgHWlYSqSZ yIDUWesnVDnAKTUgkoRuxtdHKzBQGWGVeymXgYKEbrWolrDKHjsuwoZFpHamrtIIsCZ mhJY,35-44,Startup
France,Education,ChatGPT,2.3,8169,2024,EPxbsguBOCzynZkyoYCjWMltBYkNCWFUNnpgtknIOarbxnSsSBBKzIlJg CydQljtYslHczOPZmVgRywjwnvMTHHLwczvXLjQXgtLAQcwYymMFyeYnjaaaToLbTBxAJmqzljPUhxiJvxqwfarmQqRY,35-44,Enterprise
UK,Education,Bard,38.29,8494,2024,WlfqeydYnxJe mjcnKDNjSotAQSTmChpLoReJTRzCeGSxFlsYofYzIqQVWLbvcEXGqRz GoxCMUHVfLxvauKwYyhGmPsNkMlmZHXCzqUIHLVGpCgZYBnyaSxiKUJCCqnMBMAGDJDerFJ xxWftfPoo,18-24,Enterprise
South Korea,Education,ChatGPT,43.62,6121,2024,gWHFBvzRSrmlTazIFEaEeQXjpJdtEsazGiOydLoWqZRSeFngzakdqTTQfOZZbozUqpHiX GQCqJQuCBPEjwhnwdsxACfNlxctTEbSXAiiRisQjODrJyPQSePBHayO lCSnhXOsvOePWhPlnzBrTDaY,18-24,SME
Brazil,Education,Stable Diffusion,62.59,3942,2023,ZunwhWWpjqlQxAFErobHfInKFfLENMs mZYhJXnXIkXWWtdPsSCRev jemd KQNmCQcmxJTKfsDwHIrWGgfJJPNGhBJ LRKipdRQHpwzdvuPKUHxAtQXXbBKvwAYREezIiJojuYYeNfnwgVOzGKDfl,25-34,Startup
France,Education,Stable Diffusion,59.63,5094,2023,ViSEIKypJtuQMjSqpkxAxCtQvrqsczdCvUJqzuAvbABWmoJKVWCQiiOkNtKNdrzmkRlG mXxoHdVvtcstzkcHAIieJbVpHHzPgVTxmdcrdqELNzbRJIkCzYUTXdKaAznvSyyxhsuDRaFQDBVeZuegh,55+,Enterprise
USA,Education,Stable Diffusion,15.51,5501,2023,RAGXUWvcktVEtvxuJFKWnWIdICWcTvDuGymyMnnlAMAuXSpsKjaWxLSwxgPqzqFwySAAbpBeJyFqfPtLKsXpXxmufCdNe MYLePRLgfeJSaWObOWepCYVpDhotBvcSTBynxmjDrqm cwkhUFiwXjYT,25-34,Enterprise
India,Education,ChatGPT,49.73,1187,2024,jIcAtKJicPMeyEYrvQPMlPFUrwEzRwvjnPgZkEPaMyHNNNRapPlyuWgrJpvQnzbWjgMpCHOEIkUrQiFqiiTUEHqUdJeJm IUFMYHvjOzqWhILJaUCskXFxBNQAoaSgaTXvBkPSwLXmVNWOKranzgOT,35-44,SME
USA,Education,Bard,96.0,2122,2023,UztKpiiJxEwBlnZ nLYzNHdsQnVOAFYHKQt CgKkju LZDklQJVihxnhYpzhHJEUsoeaytojFLryTsTIogcAeqydZOBqrdswZbhjlMNFkdTsSdwbRuYAmWPdnmgeqmYPSxmHZUKFXPsLoSBM SBTeT,45-54,SME
UK,Education,ChatGPT,5.31,3233,2024,oXMlipuhwb hqBDaDUGAsmMZjmXhQcwZtvgEYEDhEjQRYHAgdZawytvGpuYWQUpYiyglPvCMNOeQF G JmFxHvuJuJSbbeQOYnFZuGUEzkZYOdSqosEYXGQdFxOJUpktTBcpsLAwDXo YAULnwOvXj,55+,Enterprise
Australia,Education,ChatGPT,39.87,4011,2023,iCuPCGINbAnNSQkHxlAMfnNTUoChvVjmHkBGFCeBXmUStxfE GeLLQRXppJwZEcwZCQJjeRLXZuwTSimmnmLyeJvAyVaRLVwBjDFRkSBapqpuwBrtQAIDrTwzXvMIsGYndSTfckMXLIBPHAeOQhyep,55+,Startup
France,Education,Midjourney,61.84,7342,2023,VcQLPyUeoeWMDSrjIwzjJcARRNNRXgqEqUOCMsdOPbFBAZouzfplpusDaZwSFeUWRjwRqYumbvRYHsdaUwGXDJtoKZIKFzNLIhzPhbsrXoUSasmjLmUitRXKBpnafVgPSKyQZjU gMhhhYPeqCUetZ,35-44,Startup
UK,Education,Midjourney,4.56,5577,2024,AMvgnyJMFSYFepitqMXbIsqCMfdNfRnJcTdDwYcLvOJrbNILikFiznHGvEkkAVzzcSaFuabiBJcpVEPnDtzsozxBSraHSWsfRVEGiSgiKvucJCZnxJfLBUsjQHNrMDYFOkjgFTMZD LeVlJUQXPrGs,25-34,SME
USA,Education,ChatGPT,58.24,8746,2023,KDVzdKFiEzOQTECPVRfDjMXcoKzYCmcaXCCHiZXZsroIhDixJkrdvEFQYAuFPWvKnUjhuGJmMnHXhTMUmbTenapNAQ GAMdUQezqZtPqpNg FYLkynPJQVOVbBgjWUKcIooDaivXGVt gOiDqtvrDX,18-24,SME
UK,Education,Midjourney,97.87,9159,2024,zKVQBYawnVjnxUmYFGWNpJlGTJThBrNdYGyRcOrBfICvlSHABksclEQaQBVrQtnAWUBcjtLSCohVnlHfQzMiaqLfnbzp MyiNXREvJmaXceDKTQbdfx VOjCjYquBgLjRnAZevQddLWyreebjZGxam,35-44,Startup
South Korea,Education,Bard,9.93,5374,2024,jrcbTgkMFeskDegSYMjWRCwEjuzol PQEgKFwt wgYqihFchwvkuOUoAIsqbrUNAFOrJlOuPGSsvkUdpipREjDlAPUvVs KLSQVUzcAnH pbXFzButzQCSduDPiwKgcSGGcoTHRJvq laIAdkdgQUP,18-24,SME
Brazil,Education,Midjourney,56.59,5702,2023,rsIkixXmigPvmMjzVXtlJojCZIRsRbNjZeCcezOQEESbLDrtKKonlPmLSGDZEgIiJBFDFxSnqKMkYuOJkywIZfURmTBZuGg TwSvzXhVVtTVEWpBGBOejvMAEXQsuagRDCFBUXqbNqJBPTYOGMYcMX,18-24,SME
UK,Education,ChatGPT,74.7,765,2024,DYstlKnOgoTXPPZIBjUCNtgvSogYCFZJboXWnhEWTUnCurDKUmzQZcBKdXtiwRDXz KPyzXbi gmCPvHSjoTImubAVMBjBssgKMNGkoptOsFinHGfRoWqHBGMdssXuXDvSDnzIYumqtyZfbhmANBxN,45-54,Enterprise
Brazil,Education,Stable Diffusion,74.94,1347,2023,CNLnWTYODhNEuzybUJ UlPxZVbLmoWoNGNgyImdybucfEFMTcqSKPEelEVqjryTm hMZJCZxPwtfIOJLMfouAYyeisRSMrnmmRDdcQEktjYShX ktHCRqoCFrbXOEuYsRGSZffWOZldRwHWLMdsQNK,55+,SME
South Korea,Education,Bard,41.51,4914,2024,jIjXpmCPZewSGOXRbNtDBTVtHmTT AoGBXMHvUZIQQdLJGSXgJXxibHJydh jODJnfIsQgR bjbgkwRguNhAZpYMrTHsdlbPkSfTHJGeVTUvYDGAgtjJXTzvaTWkFGqyETPrKHgdnoGTsOQyWNGIBP,45-54,Enterprise
France,Education,Stable Diffusion,89.04,155,2023,yyYufhBnGSKXlODcYQTemRz xBGAggpIXyo TRQfNguCzeqLtJHzQDbbYXdBSkvpyTBmWKtstPgcwGZr cZGLGDfqhothcragmLsJbYjWxSOCiUiGnIW vVVUvLJuFycmUcxIrzoKaDJhsOeTQWSXc,18-24,Startup
UK,Education,ChatGPT,6.61,5284,2024,wUQbqOqxVjMVFnRpooXiaEPVTjDN FtGgXoB TTzjWs FbjSwrnBEAaTRfhnRKLdChhPJWWJKvavXruXIYdNAtadMPlaXdwCrSvaHYIOubIIBeTEQxSdqzWL gWwYIaCmVWSPtTLxlvRdxoGbZFc V,18-24,Enterprise
China,Education,Midjourney,49.96,2086,2024,lceSFQbjkjfxrBlCOTFOhNJqqQbjmLqypzBFevfPjxXTkcgnYNMYMvFEnkuNjdtSuRTMsRj bHGAhChsMVmKd TGQt kDaUdoS sptOXwwH kaNKijbwEVUgbmpmdjUuNmtNXpsUKp mdXPHYKwZYY,55+,Startup
Germany,Education,Claude,48.81,1588,2024,GeNfOUfBtAfiIzmWszpTyoCrMfULNJysbjKKCNpUNTOsyGuddCfHEAxNntdGSTGnoioArjjHaiUiHrVtQeBXnMipcTAEFIAwYfMVeyrcTbbrDiZeRSIeEySHlPcInnaTRFNkCScmeq hRbykaJoEAW,25-34,Enterprise
South Korea,Education,Bard,64.72,273,2023,GJWGqMmqKWmlDnxSllIFYyegsqDfPnqOxJKWShxdJwlXQKeGMNTUGqbVazTUYMeDAlDVzD wCxYrJIzWuFvGZIdeFqbtiDOKmkIMmxsecbksNIOJOdPFuKNtwWoGyxFCFmBgvYzAw EwHvvMTcGxHh,25-34,Enterprise
South Korea,Education,ChatGPT,30.4,796,2023,QvAiMqSBaVvQLuYUmlsYBbdnoWtebqpoiTmeexfckdvuDKeZBOBIRySWXKIUVtJ glWtqHloieHggciqIquJYHzzsKwvt maPQkGEMMNhRzknrIFtQyiudDMepqYNl kGzF XkFXhULsRTjJwbmYRI,35-44,Enterprise
Germany,Education,ChatGPT,52.67,2976,2023,gKYPZFbnvTaIdomzryUKJURaGEelukWtcThfHfEDOebfIhAwLbjDXSqFqKLNwcSrtpFYjRxCEylnmqVlJhouZQIrTAOHepkYZxBUQlMtfpYmkhdAOSvHjYwQLjVIdIZzkny IEUyWnjNstIDeeKRlx,35-44,Startup
Germany,Education,ChatGPT,14.6,1998,2023,RkArM FMwGgjJkrSekCzkjWdmGQCzKhbkOLhuACgiQYHgxHQOJFTDwivfHNRdxtdjPQqlRzuADsWxlLsBunxdQNuDBFrKoHoGIyaARgXeQOYg tHGnyUBCNEseoqFypIoCvACptKFHRpGhQDjlKyya,35-44,SME
Canada,Education,ChatGPT,57.79,4026,2024,XXthoFbnhgYmhVVqnex ZrnHNhqAfAkwOspqgVsCgeYKwzhfYmAedkOVrB ERLOJTyUNrLEIWCqaOqTwtrjre yEIUqEjtvDzWHCbCckUbizocqKZurGNvismxkEoFgVtOsPXSkYyanwIvBMsbncaS,55+,SME
Brazil,Education,ChatGPT,26.01,1316,2024,MdoxDmaMGkvLIZSQpZgMOvHVyyFBXfcDHDsxxMXpdLbMtORxySjVnGwJMpMQdbpFwchRAcUfBieyNvHiEFGpbdRI kHDUEwzaCuFXjxzEobYfdpxqChQgZgnwbpORYwMOaESdGcJCNSAkHBMKvkNhG,55+,Enterprise
UK,Education,Bard,38.96,9483,2024,FnKdDcwyJjxKrIcVBdYUNpjgfJMDpreblWxTDkWpPwAvbcNATsZKgyyKKwONzWByOCxrgbrskkjTpki naIyZocRgwdI IZHwkQTtjUPGMdQTurHNqkGGQLomDwRLJFWeJJVANJNmOarjzKvahCJxT,55+,Enterprise
USA,Education,Stable Diffusion,2.36,3350,2023,F ddhwGG Eh TTLIeTuznFjagSVWH pTCkVZEEKDFJhfleXDOVxHGUAvFinDFhgUnxbUbjUCesiBrOgYmFeMUBwClbcLhiRqplOrTKbLwgyBSrqZrnhoPRDifOCwooUWnLxfnADnWmazxDIHix vlX,25-34,Startup
USA,Education,ChatGPT,9.39,8574,2024,ouzygVzCgQonGufRsssotrElCaAxjtQpiiVDmZTgcbERlApMcGsyn NuWdqPjFQMDyXDtzoJRDUyuqGUERUycWj qctTQahwsRzuwtxVpupxXWMuH LmSrnOOrHwXNmXoOxouIMiFUItiwGaKTrcdJ,35-44,Startup
Brazil,Education,ChatGPT,71.72,7588,2024,LYWwZhzvlFxffKnlplTpKuTlKNsYTXuhbFwynCGNHBoYloslpxwpIeTesxqABcy RHHScjnPRdmMYjQKhERrBsp sribntdEHdwlklAqzCqtJdmxBonjYLdADAHOpYixVLZdUUuFwLbKIDwzCcWIEP,25-34,SME
